	s_domain	domain_type	encoder_type	metric_name	metric_value	full_metric_name	clip_model_name
120	murasaki_nora_asuya (image)	image	orig	quality	0.197265625	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
121	murasaki_nora_asuya (image)	image	orig	diversity	0.2413330078125	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
122	murasaki_nora_asuya (image)	image	orig	quality	0.200927734375	quality/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
123	murasaki_nora_asuya (image)	image	orig	diversity	0.223388671875	diversity/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
124	murasaki_nora_asuya (image)	image	e4e	quality	0.1951904296875	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
125	murasaki_nora_asuya (image)	image	e4e	diversity	0.2257080078125	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
126	murasaki_nora_asuya (image)	image	e4e	quality	0.205078125	quality/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
127	murasaki_nora_asuya (image)	image	e4e	diversity	0.212646484375	diversity/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
128	murasaki_nora_asuya (image)	image	fse	quality	0.19873046875	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
129	murasaki_nora_asuya (image)	image	fse	diversity	0.2216796875	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
130	murasaki_nora_asuya (image)	image	fse	quality	0.2086181640625	quality/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
131	murasaki_nora_asuya (image)	image	fse	diversity	0.207275390625	diversity/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
132	murasaki_nora_asuya (image)	image	fse_with_features	quality	0.1851806640625	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
133	murasaki_nora_asuya (image)	image	fse_with_features	diversity	0.314453125	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
134	murasaki_nora_asuya (image)	image	fse_with_features	quality	0.18896484375	quality/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
135	murasaki_nora_asuya (image)	image	fse_with_features	diversity	0.28515625	diversity/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
136	murasaki_nora_asuya (image)	image	fse_with_generator_shift	quality	0.1864013671875	quality/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
137	murasaki_nora_asuya (image)	image	fse_with_generator_shift	diversity	0.29541015625	diversity/murasaki_nora_asuya/ViT-B-32,	ViT-B-32
138	murasaki_nora_asuya (image)	image	fse_with_generator_shift	quality	0.1942138671875	quality/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
139	murasaki_nora_asuya (image)	image	fse_with_generator_shift	diversity	0.270751953125	diversity/murasaki_nora_asuya/ViT-B-16,	ViT-B-16
140	disney_princess (image)	image	orig	quality	0.289306640625	quality/disney_princess/ViT-B-32,	ViT-B-32
141	disney_princess (image)	image	orig	diversity	0.1724853515625	diversity/disney_princess/ViT-B-32,	ViT-B-32
142	disney_princess (image)	image	orig	quality	0.300537109375	quality/disney_princess/ViT-B-16,	ViT-B-16
143	disney_princess (image)	image	orig	diversity	0.1612548828125	diversity/disney_princess/ViT-B-16,	ViT-B-16
144	disney_princess (image)	image	e4e	quality	0.2880859375	quality/disney_princess/ViT-B-32,	ViT-B-32
145	disney_princess (image)	image	e4e	diversity	0.157958984375	diversity/disney_princess/ViT-B-32,	ViT-B-32
146	disney_princess (image)	image	e4e	quality	0.29931640625	quality/disney_princess/ViT-B-16,	ViT-B-16
147	disney_princess (image)	image	e4e	diversity	0.1373291015625	diversity/disney_princess/ViT-B-16,	ViT-B-16
148	disney_princess (image)	image	fse	quality	0.2841796875	quality/disney_princess/ViT-B-32,	ViT-B-32
149	disney_princess (image)	image	fse	diversity	0.1680908203125	diversity/disney_princess/ViT-B-32,	ViT-B-32
150	disney_princess (image)	image	fse	quality	0.296142578125	quality/disney_princess/ViT-B-16,	ViT-B-16
151	disney_princess (image)	image	fse	diversity	0.146484375	diversity/disney_princess/ViT-B-16,	ViT-B-16
152	disney_princess (image)	image	fse_with_features	quality	0.24658203125	quality/disney_princess/ViT-B-32,	ViT-B-32
153	disney_princess (image)	image	fse_with_features	diversity	0.3173828125	diversity/disney_princess/ViT-B-32,	ViT-B-32
154	disney_princess (image)	image	fse_with_features	quality	0.254638671875	quality/disney_princess/ViT-B-16,	ViT-B-16
155	disney_princess (image)	image	fse_with_features	diversity	0.291259765625	diversity/disney_princess/ViT-B-16,	ViT-B-16
